,Ask,BaseVolume,Bid,High,Last,Low,OpenBuy,OpenSell,time
0,0.00010285,2168.68609956,0.00010279,0.00011118,0.00010285,0.00010229,3185.0,29408.0,2018-02-02T00:00:00Z
1,0.00010289,2186.04770824,0.00010268,0.00011118,0.00010289,0.00010229,3165.0,29406.0,2018-02-02T00:10:00Z
2,0.00010179,2244.13627643,0.00010151,0.00011118,0.00010179,0.00010116,3048.0,29417.0,2018-02-02T00:20:00Z
3,0.00010224,2274.12742428,0.00010188,0.00011118,0.00010224,0.00010102,3060.0,29428.0,2018-02-02T00:30:00Z
4,0.00010137,2288.78800211,0.0001012,0.00011118,0.0001012,0.000101,3041.0,29427.0,2018-02-02T00:40:00Z
5,0.00010044,2362.86446586,0.00010019,0.00011118,0.00010019,9.93e-05,2618.0,29461.0,2018-02-02T00:50:00Z
6,0.0001005,2466.51807702,0.00010011,0.00011118,9.999e-05,9.852e-05,2642.0,29422.0,2018-02-02T01:00:00Z
7,0.0001,2537.54796443,9.999e-05,0.00011118,9.994e-05,9.852e-05,2614.0,29436.0,2018-02-02T01:10:00Z
8,9.91e-05,2568.74959384,9.872e-05,0.00011118,9.91e-05,9.852e-05,2625.0,29460.0,2018-02-02T01:20:00Z
9,9.899e-05,2595.09789247,9.847e-05,0.00011118,9.9e-05,9.806e-05,2611.0,29465.0,2018-02-02T01:30:00Z
10,0.00010015,2624.26762728,9.965e-05,0.00011118,9.965e-05,9.806e-05,2628.0,29458.0,2018-02-02T01:40:00Z
11,9.993e-05,2638.88110606,9.945e-05,0.00011118,9.993e-05,9.806e-05,2659.0,29464.0,2018-02-02T01:50:00Z
12,0.00010126,2643.48292866,0.000101,0.00011118,0.00010063,9.806e-05,2619.0,29431.0,2018-02-02T02:00:00Z
13,0.00010108,2670.82721161,0.00010078,0.00011118,0.00010108,9.806e-05,2635.0,29454.0,2018-02-02T02:10:00Z
14,0.0001006,2681.25608722,0.00010051,0.00011118,0.0001006,9.806e-05,2645.0,29465.0,2018-02-02T02:20:00Z
15,0.00010017,2698.5987379,9.97e-05,0.00011105,0.00010017,9.806e-05,2620.0,29468.0,2018-02-02T02:30:00Z
16,0.00010004,2703.26508713,0.0001,0.00011104,0.0001001,9.806e-05,2658.0,29470.0,2018-02-02T02:40:00Z
17,,,,,,,,,2018-02-02T02:50:00Z
18,0.0001008,2727.71610043,0.00010009,0.000111,0.00010086,9.806e-05,2661.0,29451.0,2018-02-02T03:00:00Z
19,0.0001003,2728.43504634,0.00010022,0.000111,0.00010085,9.806e-05,2678.0,29450.0,2018-02-02T03:10:00Z
20,0.00010084,2732.59078,0.00010051,0.000111,0.00010085,9.806e-05,2685.0,29447.0,2018-02-02T03:20:00Z
