,Ask,BaseVolume,Bid,High,Last,Low,OpenBuy,OpenSell,time
10292,4.59e-06,517.09556756,4.58e-06,4.95e-06,4.58e-06,4.12e-06,1307.0,19877.0,2018-02-03T04:35:20Z
10293,4.59e-06,517.09556756,4.58e-06,4.95e-06,4.58e-06,4.12e-06,1307.0,19877.0,2018-02-03T04:35:30Z
10294,4.59e-06,517.09556756,4.58e-06,4.95e-06,4.58e-06,4.12e-06,1307.0,19877.0,2018-02-03T04:35:40Z
10295,4.59e-06,517.09556756,4.58e-06,4.95e-06,4.58e-06,4.12e-06,1307.0,19877.0,2018-02-03T04:35:50Z
10296,4.59e-06,517.08016061,4.58e-06,4.95e-06,4.58e-06,4.12e-06,1251.0,19876.0,2018-02-03T04:36:00Z
10297,4.59e-06,517.08316716,4.58e-06,4.95e-06,4.59e-06,4.12e-06,1252.0,19876.0,2018-02-03T04:36:10Z
10298,4.6e-06,517.08402598,4.59e-06,4.95e-06,4.59e-06,4.12e-06,1250.0,19874.0,2018-02-03T04:36:20Z
10299,4.6e-06,517.08402598,4.59e-06,4.95e-06,4.59e-06,4.12e-06,1250.0,19874.0,2018-02-03T04:36:30Z
10300,4.6e-06,517.08402598,4.58e-06,4.95e-06,4.59e-06,4.12e-06,1250.0,19874.0,2018-02-03T04:36:40Z
10301,4.6e-06,517.08764992,4.58e-06,4.95e-06,4.6e-06,4.12e-06,1250.0,19874.0,2018-02-03T04:36:50Z
10302,4.61e-06,517.07704961,4.58e-06,4.95e-06,4.6e-06,4.12e-06,1251.0,19869.0,2018-02-03T04:37:00Z
10303,4.61e-06,517.07704961,4.58e-06,4.95e-06,4.6e-06,4.12e-06,1251.0,19869.0,2018-02-03T04:37:10Z
10304,4.61e-06,517.07704961,4.58e-06,4.95e-06,4.6e-06,4.12e-06,1251.0,19869.0,2018-02-03T04:37:20Z
10305,4.61e-06,517.07704961,4.58e-06,4.95e-06,4.6e-06,4.12e-06,1251.0,19869.0,2018-02-03T04:37:30Z
10306,4.61e-06,517.08124037,4.6e-06,4.95e-06,4.61e-06,4.12e-06,1248.0,19868.0,2018-02-03T04:37:40Z
10307,4.61e-06,517.07020021,4.58e-06,4.95e-06,4.6e-06,4.12e-06,1250.0,19868.0,2018-02-03T04:37:50Z
10308,4.61e-06,517.07020021,4.6e-06,4.95e-06,4.6e-06,4.12e-06,1250.0,19868.0,2018-02-03T04:38:00Z
10309,4.61e-06,517.07020021,4.6e-06,4.95e-06,4.6e-06,4.12e-06,1250.0,19868.0,2018-02-03T04:38:10Z
10310,4.61e-06,517.07020021,4.6e-06,4.95e-06,4.6e-06,4.12e-06,1250.0,19868.0,2018-02-03T04:38:20Z
10311,4.58e-06,517.02675323,4.56e-06,4.95e-06,4.56e-06,4.12e-06,1247.0,19870.0,2018-02-03T04:38:30Z
10312,4.58e-06,517.01031169,4.56e-06,4.95e-06,4.58e-06,4.12e-06,1246.0,19870.0,2018-02-03T04:38:40Z
10313,4.58e-06,517.01031169,4.56e-06,4.95e-06,4.58e-06,4.12e-06,1246.0,19870.0,2018-02-03T04:38:50Z
10314,4.58e-06,517.01258984,4.56e-06,4.95e-06,4.58e-06,4.12e-06,1246.0,19870.0,2018-02-03T04:39:00Z
10315,4.56e-06,516.83522409,4.55e-06,4.95e-06,4.56e-06,4.12e-06,1246.0,19870.0,2018-02-03T04:39:10Z
10316,4.56e-06,516.8451371,4.55e-06,4.95e-06,4.56e-06,4.12e-06,1249.0,19872.0,2018-02-03T04:39:20Z
10317,4.56e-06,516.8451371,4.55e-06,4.95e-06,4.56e-06,4.12e-06,1249.0,19872.0,2018-02-03T04:39:30Z
10318,4.58e-06,516.8491494,4.56e-06,4.95e-06,4.55e-06,4.12e-06,1250.0,19872.0,2018-02-03T04:39:40Z
10319,4.58e-06,516.86446766,4.56e-06,4.95e-06,4.56e-06,4.12e-06,1250.0,19870.0,2018-02-03T04:39:50Z
10320,4.58e-06,516.86446766,4.56e-06,4.95e-06,4.56e-06,4.12e-06,1250.0,19870.0,2018-02-03T04:40:00Z
10321,4.58e-06,516.85223305,4.56e-06,4.95e-06,4.56e-06,4.12e-06,1249.0,19871.0,2018-02-03T04:40:10Z
10322,4.58e-06,516.80406019,4.56e-06,4.95e-06,4.56e-06,4.12e-06,1249.0,19872.0,2018-02-03T04:40:20Z
10323,4.58e-06,516.80406019,4.56e-06,4.95e-06,4.56e-06,4.12e-06,1249.0,19872.0,2018-02-03T04:40:30Z
10324,4.58e-06,516.75782472,4.56e-06,4.95e-06,4.58e-06,4.12e-06,1254.0,19874.0,2018-02-03T04:40:40Z
10325,4.58e-06,516.75782472,4.56e-06,4.95e-06,4.58e-06,4.12e-06,1254.0,19874.0,2018-02-03T04:40:50Z
10326,4.58e-06,516.75782472,4.56e-06,4.95e-06,4.58e-06,4.12e-06,1254.0,19874.0,2018-02-03T04:41:00Z
10327,4.58e-06,516.75782472,4.56e-06,4.95e-06,4.58e-06,4.12e-06,1254.0,19874.0,2018-02-03T04:41:10Z
10328,4.58e-06,516.75694209,4.57e-06,4.95e-06,4.58e-06,4.12e-06,1256.0,19874.0,2018-02-03T04:41:20Z
10329,4.58e-06,516.79172253,4.57e-06,4.95e-06,4.58e-06,4.12e-06,1256.0,19874.0,2018-02-03T04:41:30Z
10330,4.58e-06,516.79172253,4.57e-06,4.95e-06,4.58e-06,4.12e-06,1256.0,19874.0,2018-02-03T04:41:40Z
